,ride_date,ride_count,month,year,m_y
0,2019-01-01,2239,1,2019,1-2019
1,2019-01-02,5633,1,2019,1-2019
2,2019-01-03,6198,1,2019,1-2019
3,2019-01-04,6275,1,2019,1-2019
4,2019-01-05,2022,1,2019,1-2019
5,2019-01-06,651,1,2019,1-2019
6,2019-01-07,6757,1,2019,1-2019
7,2019-01-08,7041,1,2019,1-2019
8,2019-01-09,6961,1,2019,1-2019
9,2019-01-10,7594,1,2019,1-2019
10,2019-01-11,5718,1,2019,1-2019
11,2019-01-12,4179,1,2019,1-2019
12,2019-01-13,3674,1,2019,1-2019
13,2019-01-14,6921,1,2019,1-2019
14,2019-01-15,3395,1,2019,1-2019
15,2019-01-16,4447,1,2019,1-2019
16,2019-01-17,5661,1,2019,1-2019
17,2019-01-18,7420,1,2019,1-2019
18,2019-01-19,4742,1,2019,1-2019
19,2019-01-20,2429,1,2019,1-2019
20,2019-01-21,5073,1,2019,1-2019
21,2019-01-22,8591,1,2019,1-2019
22,2019-01-23,8917,1,2019,1-2019
23,2019-01-24,9115,1,2019,1-2019
24,2019-01-25,8682,1,2019,1-2019
25,2019-01-26,5255,1,2019,1-2019
26,2019-01-27,4701,1,2019,1-2019
27,2019-01-28,9250,1,2019,1-2019
28,2019-01-29,9409,1,2019,1-2019
29,2019-01-30,9202,1,2019,1-2019
30,2019-01-31,9193,1,2019,1-2019
31,2019-02-01,6035,2,2019,2-2019
32,2019-02-02,3114,2,2019,2-2019
33,2019-02-03,2730,2,2019,2-2019
34,2019-02-04,5401,2,2019,2-2019
35,2019-02-05,8357,2,2019,2-2019
36,2019-02-06,8926,2,2019,2-2019
37,2019-02-07,9085,2,2019,2-2019
38,2019-02-08,6270,2,2019,2-2019
39,2019-02-09,2638,2,2019,2-2019
40,2019-02-10,3765,2,2019,2-2019
41,2019-02-11,8519,2,2019,2-2019
42,2019-02-12,8368,2,2019,2-2019
43,2019-02-13,3161,2,2019,2-2019
44,2019-02-14,6508,2,2019,2-2019
45,2019-02-15,7166,2,2019,2-2019
46,2019-02-16,3832,2,2019,2-2019
47,2019-02-17,3991,2,2019,2-2019
48,2019-02-18,5400,2,2019,2-2019
49,2019-02-19,9293,2,2019,2-2019
50,2019-02-20,9510,2,2019,2-2019
51,2019-02-21,9355,2,2019,2-2019
52,2019-02-22,9005,2,2019,2-2019
53,2019-02-23,5217,2,2019,2-2019
54,2019-02-24,4296,2,2019,2-2019
55,2019-02-25,6925,2,2019,2-2019
