,ride_date,ride_count,month,year,m_y
0,2019-01-01,1293,1,2019,1-2019
1,2019-01-02,2620,1,2019,1-2019
2,2019-01-03,2998,1,2019,1-2019
3,2019-01-04,3390,1,2019,1-2019
4,2019-01-05,778,1,2019,1-2019
5,2019-01-06,1625,1,2019,1-2019
6,2019-01-07,2848,1,2019,1-2019
7,2019-01-08,2976,1,2019,1-2019
8,2019-01-09,3382,1,2019,1-2019
9,2019-01-10,3320,1,2019,1-2019
10,2019-01-11,2622,1,2019,1-2019
11,2019-01-12,1231,1,2019,1-2019
12,2019-01-13,1157,1,2019,1-2019
13,2019-01-14,2990,1,2019,1-2019
14,2019-01-15,3295,1,2019,1-2019
15,2019-01-16,3541,1,2019,1-2019
16,2019-01-17,3119,1,2019,1-2019
17,2019-01-18,3286,1,2019,1-2019
18,2019-01-19,1371,1,2019,1-2019
19,2019-01-21,149,1,2019,1-2019
20,2019-01-22,956,1,2019,1-2019
21,2019-01-23,1808,1,2019,1-2019
22,2019-01-24,1489,1,2019,1-2019
23,2019-01-25,3011,1,2019,1-2019
24,2019-01-26,1719,1,2019,1-2019
25,2019-01-27,1901,1,2019,1-2019
26,2019-01-28,3263,1,2019,1-2019
27,2019-01-29,3225,1,2019,1-2019
28,2019-01-30,2548,1,2019,1-2019
29,2019-01-31,1637,1,2019,1-2019
30,2019-02-01,2198,2,2019,2-2019
31,2019-02-02,1576,2,2019,2-2019
32,2019-02-03,2079,2,2019,2-2019
33,2019-02-04,4768,2,2019,2-2019
34,2019-02-05,5880,2,2019,2-2019
35,2019-02-06,4054,2,2019,2-2019
36,2019-02-07,3733,2,2019,2-2019
37,2019-02-08,3846,2,2019,2-2019
38,2019-02-09,1816,2,2019,2-2019
39,2019-02-10,1966,2,2019,2-2019
40,2019-02-11,3791,2,2019,2-2019
41,2019-02-12,2160,2,2019,2-2019
42,2019-02-13,2625,2,2019,2-2019
43,2019-02-14,3624,2,2019,2-2019
44,2019-02-15,3382,2,2019,2-2019
45,2019-02-16,2337,2,2019,2-2019
46,2019-02-17,2084,2,2019,2-2019
47,2019-02-18,952,2,2019,2-2019
48,2019-02-19,2784,2,2019,2-2019
49,2019-02-20,3159,2,2019,2-2019
50,2019-02-21,2900,2,2019,2-2019
51,2019-02-22,3744,2,2019,2-2019
52,2019-02-23,2400,2,2019,2-2019
53,2019-02-24,1076,2,2019,2-2019
54,2019-02-25,2890,2,2019,2-2019
55,2019-02-26,3037,2,2019,2-2019
56,2019-02-27,2969,2,2019,2-2019
57,2019-02-28,2329,2,2019,2-2019
58,2019-03-01,3194,3,2019,3-2019
59,2019-03-02,834,3,2019,3-2019
60,2019-03-03,1847,3,2019,3-2019
