,ride_date,ride_count,month,year,m_y
0,2019-01-01,4490,1,2019,1-2019
1,2019-01-02,6540,1,2019,1-2019
2,2019-01-03,7574,1,2019,1-2019
3,2019-01-04,7330,1,2019,1-2019
4,2019-01-05,5080,1,2019,1-2019
5,2019-01-06,6012,1,2019,1-2019
6,2019-01-07,6208,1,2019,1-2019
7,2019-01-08,7624,1,2019,1-2019
8,2019-01-09,6386,1,2019,1-2019
9,2019-01-10,5549,1,2019,1-2019
10,2019-01-11,5660,1,2019,1-2019
11,2019-01-12,3610,1,2019,1-2019
12,2019-01-13,616,1,2019,1-2019
13,2019-01-14,1517,1,2019,1-2019
14,2019-01-15,3766,1,2019,1-2019
15,2019-01-16,4931,1,2019,1-2019
16,2019-01-17,5074,1,2019,1-2019
17,2019-01-18,5714,1,2019,1-2019
18,2019-01-19,3552,1,2019,1-2019
19,2019-01-20,2576,1,2019,1-2019
20,2019-01-21,1585,1,2019,1-2019
21,2019-01-22,4571,1,2019,1-2019
22,2019-01-23,6688,1,2019,1-2019
23,2019-01-24,3869,1,2019,1-2019
24,2019-01-25,6240,1,2019,1-2019
25,2019-01-26,4473,1,2019,1-2019
26,2019-01-27,4473,1,2019,1-2019
27,2019-01-28,6306,1,2019,1-2019
28,2019-01-29,4326,1,2019,1-2019
29,2019-01-30,4001,1,2019,1-2019
30,2019-01-31,3843,1,2019,1-2019
31,2019-02-01,2463,2,2019,2-2019
32,2019-02-02,3402,2,2019,2-2019
33,2019-02-03,5026,2,2019,2-2019
34,2019-02-04,7771,2,2019,2-2019
35,2019-02-05,9184,2,2019,2-2019
36,2019-02-06,6919,2,2019,2-2019
37,2019-02-07,7828,2,2019,2-2019
38,2019-02-08,6629,2,2019,2-2019
39,2019-02-09,4010,2,2019,2-2019
40,2019-02-10,3913,2,2019,2-2019
41,2019-02-11,3235,2,2019,2-2019
42,2019-02-12,2573,2,2019,2-2019
43,2019-02-13,7277,2,2019,2-2019
44,2019-02-14,7417,2,2019,2-2019
45,2019-02-15,9141,2,2019,2-2019
46,2019-02-16,5673,2,2019,2-2019
47,2019-02-17,3960,2,2019,2-2019
48,2019-02-18,4555,2,2019,2-2019
49,2019-02-19,6291,2,2019,2-2019
50,2019-02-20,935,2,2019,2-2019
51,2019-02-21,6560,2,2019,2-2019
52,2019-02-22,7163,2,2019,2-2019
53,2019-02-23,2741,2,2019,2-2019
54,2019-02-24,5164,2,2019,2-2019
55,2019-02-25,5904,2,2019,2-2019
56,2019-02-26,7532,2,2019,2-2019
57,2019-02-27,6820,2,2019,2-2019
58,2019-02-28,7427,2,2019,2-2019
59,2019-03-01,4061,3,2019,3-2019
60,2019-03-02,5343,3,2019,3-2019
61,2019-03-03,2299,3,2019,3-2019
62,2019-03-04,6243,3,2019,3-2019
63,2019-03-05,6739,3,2019,3-2019
64,2019-03-06,5522,3,2019,3-2019
65,2019-03-07,6615,3,2019,3-2019
66,2019-03-08,4680,3,2019,3-2019
67,2019-03-09,5572,3,2019,3-2019
68,2019-03-10,6463,3,2019,3-2019
69,2019-03-11,9572,3,2019,3-2019
70,2019-03-12,8902,3,2019,3-2019
71,2019-03-13,9176,3,2019,3-2019
72,2019-03-14,11523,3,2019,3-2019
73,2019-03-15,11590,3,2019,3-2019
74,2019-03-16,8663,3,2019,3-2019
75,2019-03-17,7611,3,2019,3-2019
76,2019-03-18,7989,3,2019,3-2019
77,2019-03-19,9427,3,2019,3-2019
78,2019-03-20,9949,3,2019,3-2019
79,2019-03-21,2046,3,2019,3-2019
80,2019-03-22,6858,3,2019,3-2019
81,2019-03-23,7615,3,2019,3-2019
82,2019-03-24,10820,3,2019,3-2019
83,2019-03-25,8888,3,2019,3-2019
84,2019-03-26,9245,3,2019,3-2019
85,2019-03-27,9765,3,2019,3-2019
86,2019-03-28,11428,3,2019,3-2019
87,2019-03-29,12633,3,2019,3-2019
88,2019-03-30,17731,3,2019,3-2019
89,2019-03-31,7508,3,2019,3-2019
90,2019-04-01,8836,4,2019,4-2019
91,2019-04-02,7861,4,2019,4-2019
92,2019-04-03,13071,4,2019,4-2019
93,2019-04-04,13178,4,2019,4-2019
94,2019-04-05,5876,4,2019,4-2019
95,2019-04-06,18116,4,2019,4-2019
96,2019-04-07,14733,4,2019,4-2019
97,2019-04-08,10914,4,2019,4-2019
98,2019-04-09,12960,4,2019,4-2019
99,2019-04-10,12663,4,2019,4-2019
100,2019-04-11,11804,4,2019,4-2019
101,2019-04-12,9583,4,2019,4-2019
102,2019-04-13,14457,4,2019,4-2019
103,2019-04-14,9844,4,2019,4-2019
104,2019-04-15,8218,4,2019,4-2019
105,2019-04-16,11848,4,2019,4-2019
106,2019-04-17,12390,4,2019,4-2019
107,2019-04-18,12880,4,2019,4-2019
108,2019-04-19,8338,4,2019,4-2019
109,2019-04-20,14179,4,2019,4-2019
110,2019-04-21,10909,4,2019,4-2019
111,2019-04-22,12151,4,2019,4-2019
112,2019-04-23,13171,4,2019,4-2019
113,2019-04-24,13160,4,2019,4-2019
114,2019-04-25,12294,4,2019,4-2019
115,2019-04-26,8766,4,2019,4-2019
116,2019-04-27,11939,4,2019,4-2019
117,2019-04-28,9808,4,2019,4-2019
118,2019-04-29,10144,4,2019,4-2019
119,2019-04-30,11762,4,2019,4-2019
120,2019-05-01,11899,5,2019,5-2019
121,2019-05-02,9852,5,2019,5-2019
122,2019-05-03,12395,5,2019,5-2019
123,2019-05-04,10960,5,2019,5-2019
124,2019-05-05,2674,5,2019,5-2019
125,2019-05-06,11641,5,2019,5-2019
126,2019-05-07,12243,5,2019,5-2019
127,2019-05-08,11581,5,2019,5-2019
128,2019-05-09,11406,5,2019,5-2019
129,2019-05-10,10530,5,2019,5-2019
130,2019-05-11,8181,5,2019,5-2019
131,2019-05-12,3295,5,2019,5-2019
132,2019-05-13,6588,5,2019,5-2019
133,2019-05-14,10884,5,2019,5-2019
134,2019-05-15,12279,5,2019,5-2019
135,2019-05-16,12193,5,2019,5-2019
136,2019-05-17,13467,5,2019,5-2019
137,2019-05-18,12766,5,2019,5-2019
138,2019-05-19,11225,5,2019,5-2019
139,2019-05-20,11443,5,2019,5-2019
140,2019-05-21,12768,5,2019,5-2019
141,2019-05-22,12624,5,2019,5-2019
142,2019-05-23,11312,5,2019,5-2019
143,2019-05-24,12500,5,2019,5-2019
144,2019-05-25,11766,5,2019,5-2019
145,2019-05-26,11160,5,2019,5-2019
146,2019-05-27,11167,5,2019,5-2019
147,2019-05-28,9969,5,2019,5-2019
148,2019-05-29,11958,5,2019,5-2019
149,2019-05-30,10492,5,2019,5-2019
150,2019-05-31,12759,5,2019,5-2019
151,2019-06-01,12151,6,2019,6-2019
152,2019-06-02,9754,6,2019,6-2019
153,2019-06-03,12698,6,2019,6-2019
154,2019-06-04,13547,6,2019,6-2019
155,2019-06-05,12323,6,2019,6-2019
156,2019-06-06,12550,6,2019,6-2019
157,2019-06-07,13479,6,2019,6-2019
158,2019-06-08,13593,6,2019,6-2019
159,2019-06-09,6139,6,2019,6-2019
160,2019-06-10,8308,6,2019,6-2019
161,2019-06-11,12941,6,2019,6-2019
162,2019-06-12,12570,6,2019,6-2019
163,2019-06-13,9443,6,2019,6-2019
164,2019-06-14,13559,6,2019,6-2019
165,2019-06-15,12737,6,2019,6-2019
166,2019-06-16,10256,6,2019,6-2019
167,2019-06-17,9971,6,2019,6-2019
168,2019-06-18,9565,6,2019,6-2019
169,2019-06-19,12189,6,2019,6-2019
170,2019-06-20,11306,6,2019,6-2019
171,2019-06-21,13391,6,2019,6-2019
172,2019-06-22,13726,6,2019,6-2019
173,2019-06-23,11905,6,2019,6-2019
174,2019-06-24,10874,6,2019,6-2019
175,2019-06-25,12289,6,2019,6-2019
176,2019-06-26,12532,6,2019,6-2019
177,2019-06-27,11244,6,2019,6-2019
178,2019-06-28,11877,6,2019,6-2019
179,2019-06-29,10755,6,2019,6-2019
180,2019-06-30,10551,6,2019,6-2019
181,2019-07-01,12316,7,2019,7-2019
182,2019-07-02,10710,7,2019,7-2019
183,2019-07-03,12501,7,2019,7-2019
184,2019-07-04,10224,7,2019,7-2019
185,2019-07-05,12059,7,2019,7-2019
186,2019-07-06,10086,7,2019,7-2019
187,2019-07-07,9982,7,2019,7-2019
188,2019-07-08,8371,7,2019,7-2019
189,2019-07-09,12902,7,2019,7-2019
190,2019-07-10,12569,7,2019,7-2019
191,2019-07-11,8635,7,2019,7-2019
