,ride_date,ride_count,month,year,m_y
0,2019-01-01,21778,1,2019,1-2019
1,2019-01-02,37670,1,2019,1-2019
2,2019-01-03,41544,1,2019,1-2019
3,2019-01-04,43776,1,2019,1-2019
4,2019-01-05,17356,1,2019,1-2019
5,2019-01-06,31284,1,2019,1-2019
6,2019-01-07,36362,1,2019,1-2019
7,2019-01-08,41038,1,2019,1-2019
8,2019-01-09,44179,1,2019,1-2019
9,2019-01-10,38859,1,2019,1-2019
10,2019-01-11,32693,1,2019,1-2019
11,2019-01-12,25033,1,2019,1-2019
12,2019-01-13,22655,1,2019,1-2019
13,2019-01-14,34853,1,2019,1-2019
14,2019-01-15,38956,1,2019,1-2019
15,2019-01-16,40255,1,2019,1-2019
16,2019-01-17,38838,1,2019,1-2019
17,2019-01-18,34125,1,2019,1-2019
18,2019-01-19,23599,1,2019,1-2019
19,2019-01-20,14144,1,2019,1-2019
20,2019-01-21,10172,1,2019,1-2019
21,2019-01-22,28402,1,2019,1-2019
22,2019-01-23,41354,1,2019,1-2019
23,2019-01-24,20019,1,2019,1-2019
24,2019-01-25,38714,1,2019,1-2019
25,2019-01-26,26176,1,2019,1-2019
26,2019-01-27,29890,1,2019,1-2019
27,2019-01-28,35504,1,2019,1-2019
28,2019-01-29,30830,1,2019,1-2019
29,2019-01-30,24961,1,2019,1-2019
30,2019-01-31,18512,1,2019,1-2019
31,2019-02-01,24860,2,2019,2-2019
32,2019-02-02,21880,2,2019,2-2019
33,2019-02-03,31776,2,2019,2-2019
34,2019-02-04,46187,2,2019,2-2019
35,2019-02-05,53960,2,2019,2-2019
36,2019-02-06,39100,2,2019,2-2019
37,2019-02-07,43039,2,2019,2-2019
38,2019-02-08,36311,2,2019,2-2019
39,2019-02-09,23639,2,2019,2-2019
40,2019-02-10,24004,2,2019,2-2019
41,2019-02-11,38522,2,2019,2-2019
42,2019-02-12,15800,2,2019,2-2019
43,2019-02-13,34832,2,2019,2-2019
44,2019-02-14,41514,2,2019,2-2019
45,2019-02-15,46687,2,2019,2-2019
46,2019-02-16,30859,2,2019,2-2019
47,2019-02-17,23894,2,2019,2-2019
48,2019-02-18,25719,2,2019,2-2019
49,2019-02-19,34531,2,2019,2-2019
50,2019-02-20,20370,2,2019,2-2019
51,2019-02-21,39348,2,2019,2-2019
52,2019-02-22,41657,2,2019,2-2019
53,2019-02-23,31444,2,2019,2-2019
54,2019-02-24,24161,2,2019,2-2019
55,2019-02-25,34089,2,2019,2-2019
56,2019-02-26,37412,2,2019,2-2019
57,2019-02-27,36373,2,2019,2-2019
58,2019-02-28,38101,2,2019,2-2019
59,2019-03-01,30134,3,2019,3-2019
