,ride_date,ride_count,month,year,m_y
0,2019-01-01,423,1,2019,1-2019
1,2019-01-02,822,1,2019,1-2019
2,2019-01-03,856,1,2019,1-2019
3,2019-01-04,895,1,2019,1-2019
4,2019-01-05,308,1,2019,1-2019
5,2019-01-06,509,1,2019,1-2019
6,2019-01-07,819,1,2019,1-2019
7,2019-01-08,886,1,2019,1-2019
8,2019-01-09,841,1,2019,1-2019
9,2019-01-10,790,1,2019,1-2019
10,2019-01-11,712,1,2019,1-2019
11,2019-01-12,439,1,2019,1-2019
12,2019-01-13,377,1,2019,1-2019
13,2019-01-14,779,1,2019,1-2019
14,2019-01-15,909,1,2019,1-2019
15,2019-01-16,859,1,2019,1-2019
16,2019-01-17,826,1,2019,1-2019
17,2019-01-18,702,1,2019,1-2019
18,2019-01-19,408,1,2019,1-2019
19,2019-01-20,250,1,2019,1-2019
20,2019-01-21,195,1,2019,1-2019
21,2019-01-22,668,1,2019,1-2019
22,2019-01-23,864,1,2019,1-2019
23,2019-01-24,434,1,2019,1-2019
24,2019-01-25,763,1,2019,1-2019
25,2019-01-26,464,1,2019,1-2019
26,2019-01-27,496,1,2019,1-2019
27,2019-01-28,783,1,2019,1-2019
28,2019-01-29,699,1,2019,1-2019
29,2019-01-30,456,1,2019,1-2019
30,2019-01-31,374,1,2019,1-2019
31,2019-02-01,519,2,2019,2-2019
32,2019-02-02,360,2,2019,2-2019
33,2019-02-03,527,2,2019,2-2019
34,2019-02-04,932,2,2019,2-2019
35,2019-02-05,1079,2,2019,2-2019
36,2019-02-06,827,2,2019,2-2019
37,2019-02-07,838,2,2019,2-2019
38,2019-02-08,746,2,2019,2-2019
39,2019-02-09,462,2,2019,2-2019
40,2019-02-10,421,2,2019,2-2019
41,2019-02-11,819,2,2019,2-2019
42,2019-02-12,349,2,2019,2-2019
43,2019-02-13,689,2,2019,2-2019
44,2019-02-14,878,2,2019,2-2019
45,2019-02-15,921,2,2019,2-2019
46,2019-02-16,503,2,2019,2-2019
47,2019-02-17,403,2,2019,2-2019
48,2019-02-18,431,2,2019,2-2019
49,2019-02-19,769,2,2019,2-2019
50,2019-02-20,469,2,2019,2-2019
51,2019-02-21,749,2,2019,2-2019
52,2019-02-22,849,2,2019,2-2019
53,2019-02-23,547,2,2019,2-2019
54,2019-02-24,379,2,2019,2-2019
55,2019-02-25,656,2,2019,2-2019
56,2019-02-26,796,2,2019,2-2019
57,2019-02-27,780,2,2019,2-2019
58,2019-02-28,798,2,2019,2-2019
59,2019-03-01,575,3,2019,3-2019
60,2019-03-02,330,3,2019,3-2019
61,2019-03-03,351,3,2019,3-2019
62,2019-03-04,502,3,2019,3-2019
63,2019-03-05,701,3,2019,3-2019
64,2019-03-06,682,3,2019,3-2019
65,2019-03-07,742,3,2019,3-2019
66,2019-03-08,772,3,2019,3-2019
67,2019-03-09,650,3,2019,3-2019
68,2019-03-10,312,3,2019,3-2019
69,2019-03-11,1008,3,2019,3-2019
70,2019-03-12,964,3,2019,3-2019
71,2019-03-13,911,3,2019,3-2019
72,2019-03-14,993,3,2019,3-2019
73,2019-03-15,998,3,2019,3-2019
74,2019-03-16,718,3,2019,3-2019
75,2019-03-17,563,3,2019,3-2019
76,2019-03-18,906,3,2019,3-2019
77,2019-03-19,969,3,2019,3-2019
78,2019-03-20,1007,3,2019,3-2019
79,2019-03-21,435,3,2019,3-2019
