,start_date,ride_count,month,year,m_y
0,2019-01-01,501,1,2019,1-2019
1,2019-01-02,666,1,2019,1-2019
2,2019-01-03,723,1,2019,1-2019
3,2019-01-04,797,1,2019,1-2019
4,2019-01-05,273,1,2019,1-2019
5,2019-01-06,374,1,2019,1-2019
6,2019-01-07,477,1,2019,1-2019
7,2019-01-08,746,1,2019,1-2019
8,2019-01-09,782,1,2019,1-2019
9,2019-01-10,769,1,2019,1-2019
10,2019-01-11,743,1,2019,1-2019
11,2019-01-12,467,1,2019,1-2019
12,2019-01-13,566,1,2019,1-2019
13,2019-01-14,236,1,2019,1-2019
14,2019-01-15,372,1,2019,1-2019
15,2019-01-16,228,1,2019,1-2019
16,2019-01-17,344,1,2019,1-2019
17,2019-01-18,771,1,2019,1-2019
18,2019-01-19,786,1,2019,1-2019
19,2019-01-20,531,1,2019,1-2019
20,2019-01-21,548,1,2019,1-2019
21,2019-01-22,690,1,2019,1-2019
22,2019-01-23,723,1,2019,1-2019
23,2019-01-24,738,1,2019,1-2019
24,2019-01-25,909,1,2019,1-2019
25,2019-01-26,805,1,2019,1-2019
26,2019-01-27,784,1,2019,1-2019
27,2019-01-28,718,1,2019,1-2019
28,2019-01-29,787,1,2019,1-2019
29,2019-01-30,785,1,2019,1-2019
30,2019-01-31,569,1,2019,1-2019
31,2019-02-01,846,2,2019,2-2019
32,2019-02-02,203,2,2019,2-2019
33,2019-02-03,206,2,2019,2-2019
34,2019-02-04,399,2,2019,2-2019
35,2019-02-05,506,2,2019,2-2019
36,2019-02-06,650,2,2019,2-2019
37,2019-02-07,748,2,2019,2-2019
38,2019-02-08,768,2,2019,2-2019
39,2019-02-09,615,2,2019,2-2019
40,2019-02-10,315,2,2019,2-2019
41,2019-02-11,670,2,2019,2-2019
42,2019-02-12,672,2,2019,2-2019
43,2019-02-13,470,2,2019,2-2019
44,2019-02-14,492,2,2019,2-2019
45,2019-02-15,635,2,2019,2-2019
46,2019-02-16,647,2,2019,2-2019
47,2019-02-17,403,2,2019,2-2019
48,2019-02-18,611,2,2019,2-2019
49,2019-02-19,861,2,2019,2-2019
50,2019-02-20,676,2,2019,2-2019
51,2019-02-21,685,2,2019,2-2019
52,2019-02-22,795,2,2019,2-2019
53,2019-02-23,658,2,2019,2-2019
54,2019-02-24,652,2,2019,2-2019
55,2019-02-25,585,2,2019,2-2019
56,2019-02-26,636,2,2019,2-2019
57,2019-02-27,611,2,2019,2-2019
58,2019-02-28,676,2,2019,2-2019
59,2019-03-01,780,3,2019,3-2019
60,2019-03-02,302,3,2019,3-2019
61,2019-03-03,1055,3,2019,3-2019
62,2019-03-04,695,3,2019,3-2019
63,2019-03-05,641,3,2019,3-2019
64,2019-03-06,278,3,2019,3-2019
65,2019-03-07,638,3,2019,3-2019
66,2019-03-08,646,3,2019,3-2019
67,2019-03-09,459,3,2019,3-2019
68,2019-03-10,567,3,2019,3-2019
69,2019-03-11,683,3,2019,3-2019
70,2019-03-12,700,3,2019,3-2019
71,2019-03-13,633,3,2019,3-2019
72,2019-03-14,677,3,2019,3-2019
73,2019-03-15,788,3,2019,3-2019
74,2019-03-16,600,3,2019,3-2019
