,ride_date,ride_count,month,year,m_y
0,2019-04-22,153,4,2019,4-2019
1,2019-04-23,1071,4,2019,4-2019
2,2019-04-24,1241,4,2019,4-2019
3,2019-04-25,1256,4,2019,4-2019
4,2019-04-26,1246,4,2019,4-2019
5,2019-04-27,776,4,2019,4-2019
6,2019-04-28,804,4,2019,4-2019
7,2019-04-29,822,4,2019,4-2019
8,2019-04-30,363,4,2019,4-2019
9,2019-05-01,641,5,2019,5-2019
10,2019-05-02,950,5,2019,5-2019
11,2019-05-03,1112,5,2019,5-2019
12,2019-05-04,2947,5,2019,5-2019
13,2019-05-05,1479,5,2019,5-2019
14,2019-05-06,1069,5,2019,5-2019
15,2019-05-07,1259,5,2019,5-2019
16,2019-05-08,246,5,2019,5-2019
17,2019-05-09,574,5,2019,5-2019
18,2019-05-10,1263,5,2019,5-2019
19,2019-05-11,1694,5,2019,5-2019
20,2019-05-12,1449,5,2019,5-2019
21,2019-05-13,1399,5,2019,5-2019
22,2019-05-14,1516,5,2019,5-2019
23,2019-05-15,1865,5,2019,5-2019
24,2019-05-16,1586,5,2019,5-2019
25,2019-05-17,1625,5,2019,5-2019
26,2019-05-18,723,5,2019,5-2019
27,2019-05-19,137,5,2019,5-2019
28,2019-05-20,1274,5,2019,5-2019
29,2019-05-21,723,5,2019,5-2019
30,2019-05-22,633,5,2019,5-2019
31,2019-05-23,1108,5,2019,5-2019
32,2019-05-24,956,5,2019,5-2019
33,2019-05-25,2784,5,2019,5-2019
34,2019-05-26,3140,5,2019,5-2019
35,2019-05-27,251,5,2019,5-2019
36,2019-05-28,1289,5,2019,5-2019
37,2019-05-29,1360,5,2019,5-2019
38,2019-05-30,1490,5,2019,5-2019
39,2019-05-31,1583,5,2019,5-2019
40,2019-07-01,607,7,2019,7-2019
41,2019-07-02,1573,7,2019,7-2019
42,2019-07-03,1407,7,2019,7-2019
43,2019-07-04,2140,7,2019,7-2019
44,2019-07-05,1385,7,2019,7-2019
45,2019-07-06,2423,7,2019,7-2019
46,2019-07-07,1827,7,2019,7-2019
47,2019-07-08,1605,7,2019,7-2019
48,2019-07-09,1238,7,2019,7-2019
49,2019-07-10,1345,7,2019,7-2019
50,2019-07-11,1918,7,2019,7-2019
51,2019-07-12,1932,7,2019,7-2019
52,2019-07-13,2382,7,2019,7-2019
53,2019-07-14,1552,7,2019,7-2019
54,2019-07-15,961,7,2019,7-2019
55,2019-07-16,1237,7,2019,7-2019
56,2019-07-17,1505,7,2019,7-2019
57,2019-07-18,1348,7,2019,7-2019
58,2019-07-19,1353,7,2019,7-2019
59,2019-07-20,1459,7,2019,7-2019
60,2019-07-21,2058,7,2019,7-2019
61,2019-07-22,1585,7,2019,7-2019
62,2019-07-23,1604,7,2019,7-2019
63,2019-07-24,1877,7,2019,7-2019
64,2019-07-25,1536,7,2019,7-2019
65,2019-07-26,1439,7,2019,7-2019
66,2019-07-27,2657,7,2019,7-2019
