,ride_date,ride_count,month,year,m_y
0,2019-01-01,174,1,2019,1-2019
1,2019-01-02,222,1,2019,1-2019
2,2019-01-03,212,1,2019,1-2019
3,2019-01-04,231,1,2019,1-2019
4,2019-01-05,164,1,2019,1-2019
5,2019-01-06,77,1,2019,1-2019
6,2019-01-07,246,1,2019,1-2019
7,2019-01-08,148,1,2019,1-2019
8,2019-01-09,115,1,2019,1-2019
9,2019-01-10,200,1,2019,1-2019
10,2019-01-11,217,1,2019,1-2019
11,2019-01-12,275,1,2019,1-2019
12,2019-01-13,219,1,2019,1-2019
13,2019-01-14,212,1,2019,1-2019
14,2019-01-15,161,1,2019,1-2019
15,2019-01-16,155,1,2019,1-2019
16,2019-01-17,180,1,2019,1-2019
17,2019-01-18,128,1,2019,1-2019
18,2019-01-19,170,1,2019,1-2019
19,2019-01-20,82,1,2019,1-2019
20,2019-01-21,175,1,2019,1-2019
21,2019-01-22,112,1,2019,1-2019
22,2019-01-23,219,1,2019,1-2019
23,2019-01-24,238,1,2019,1-2019
24,2019-01-25,260,1,2019,1-2019
25,2019-01-26,209,1,2019,1-2019
26,2019-01-27,154,1,2019,1-2019
27,2019-01-28,192,1,2019,1-2019
28,2019-01-29,256,1,2019,1-2019
29,2019-01-30,254,1,2019,1-2019
30,2019-01-31,285,1,2019,1-2019
31,2019-02-01,147,2,2019,2-2019
32,2019-02-02,176,2,2019,2-2019
33,2019-02-03,122,2,2019,2-2019
34,2019-02-04,123,2,2019,2-2019
35,2019-02-05,110,2,2019,2-2019
36,2019-02-06,213,2,2019,2-2019
37,2019-02-07,190,2,2019,2-2019
38,2019-02-08,190,2,2019,2-2019
39,2019-02-09,58,2,2019,2-2019
40,2019-02-10,93,2,2019,2-2019
41,2019-02-11,68,2,2019,2-2019
42,2019-02-12,74,2,2019,2-2019
43,2019-02-13,186,2,2019,2-2019
44,2019-02-14,140,2,2019,2-2019
45,2019-02-15,147,2,2019,2-2019
46,2019-02-16,94,2,2019,2-2019
47,2019-02-17,194,2,2019,2-2019
48,2019-02-18,169,2,2019,2-2019
49,2019-02-19,158,2,2019,2-2019
50,2019-02-20,192,2,2019,2-2019
51,2019-02-21,224,2,2019,2-2019
52,2019-02-22,143,2,2019,2-2019
53,2019-02-23,146,2,2019,2-2019
54,2019-02-24,96,2,2019,2-2019
55,2019-02-25,124,2,2019,2-2019
56,2019-02-26,159,2,2019,2-2019
57,2019-02-27,105,2,2019,2-2019
58,2019-02-28,167,2,2019,2-2019
59,2019-03-01,264,3,2019,3-2019
60,2019-03-02,211,3,2019,3-2019
61,2019-03-03,143,3,2019,3-2019
62,2019-03-04,175,3,2019,3-2019
63,2019-03-05,202,3,2019,3-2019
64,2019-03-06,99,3,2019,3-2019
65,2019-03-07,199,3,2019,3-2019
66,2019-03-08,113,3,2019,3-2019
67,2019-03-09,268,3,2019,3-2019
68,2019-03-10,281,3,2019,3-2019
69,2019-03-11,304,3,2019,3-2019
70,2019-03-12,178,3,2019,3-2019
71,2019-03-13,264,3,2019,3-2019
72,2019-03-14,303,3,2019,3-2019
73,2019-03-15,413,3,2019,3-2019
74,2019-03-16,548,3,2019,3-2019
75,2019-03-17,676,3,2019,3-2019
76,2019-03-18,442,3,2019,3-2019
